disease,specialist
abdominal aortic aneurysm,General Physician
abdominal hernia,General Physician
abscess of nose,General Physician
abscess of the lung,Pulmonologist
abscess of the pharynx,General Physician
acanthosis nigricans,General Physician
acariasis,General Physician
achalasia,General Physician
acne,Dermatologist
actinic keratosis,General Physician
acute bronchiolitis,General Physician
acute bronchitis,General Physician
acute bronchospasm,General Physician
acute fatty liver of pregnancy (aflp),Hepatologist
acute glaucoma,Ophthalmologist
acute kidney injury,Nephrologist
acute otitis media,General Physician
acute pancreatitis,General Physician
acute respiratory distress syndrome (ards),Pulmonologist
acute sinusitis,General Physician
acute stress reaction,General Physician
adhesive capsulitis of the shoulder,General Physician
adjustment reaction,General Physician
adrenal adenoma,Nephrologist
adrenal cancer,Nephrologist
alcohol abuse,General Physician
alcohol intoxication,General Physician
alcohol withdrawal,General Physician
alcoholic liver disease,Hepatologist
allergy,General Physician
allergy to animals,General Physician
alopecia,General Physician
alzheimer disease,General Physician
amblyopia,General Physician
amyloidosis,General Physician
amyotrophic lateral sclerosis (als),General Physician
anal fissure,General Physician
anal fistula,General Physician
anemia,General Physician
anemia due to chronic kidney disease,Nephrologist
anemia due to malignancy,General Physician
anemia of chronic disease,General Physician
angina,General Physician
ankylosing spondylitis,General Physician
anxiety,General Physician
aortic valve disease,General Physician
aphakia,General Physician
aphthous ulcer,General Physician
aplastic anemia,General Physician
appendicitis,General Physician
arrhythmia,General Physician
arthritis of the hip,Orthopedic
ascending cholangitis,General Physician
asperger syndrome,General Physician
aspergillosis,General Physician
asthma,Pulmonologist
astigmatism,General Physician
atelectasis,General Physician
athlete's foot,General Physician
atonic bladder,General Physician
atrial fibrillation,General Physician
atrial flutter,General Physician
atrophic skin condition,Dermatologist
atrophic vaginitis,General Physician
atrophy of the corpus cavernosum,General Physician
attention deficit hyperactivity disorder (adhd),General Physician
autism,General Physician
autonomic nervous system disorder,General Physician
avascular necrosis,General Physician
balanitis,General Physician
bell palsy,General Physician
benign kidney cyst,Nephrologist
benign paroxysmal positional vertical (bppv),General Physician
benign prostatic hyperplasia (bph),General Physician
benign vaginal discharge (leukorrhea),Gynecologist
bipolar disorder,General Physician
birth trauma,General Physician
bladder cancer,General Physician
bladder disorder,General Physician
bladder obstruction,General Physician
blepharitis,General Physician
blepharospasm,General Physician
bone cancer,Orthopedic
bone disorder,Orthopedic
bone spur of the calcaneous,Orthopedic
brachial neuritis,General Physician
brain cancer,Neurologist
breast cancer,General Physician
breast cyst,General Physician
breast infection (mastitis),Infectious Disease Specialist
broken tooth,General Physician
bunion,General Physician
burn,General Physician
bursitis,General Physician
callus,General Physician
carbon monoxide poisoning,General Physician
carcinoid syndrome,General Physician
cardiac arrest,General Physician
cardiomyopathy,Cardiologist
carpal tunnel syndrome,General Physician
cat scratch disease,General Physician
cataract,General Physician
celiac disease,General Physician
cellulitis or abscess of mouth,General Physician
central atherosclerosis,General Physician
central retinal artery or vein occlusion,Ophthalmologist
cerebral edema,General Physician
cerebral palsy,General Physician
cervical cancer,General Physician
cervical disorder,General Physician
cervicitis,General Physician
chalazion,General Physician
chickenpox,General Physician
chlamydia,General Physician
cholecystitis,General Physician
choledocholithiasis,General Physician
cholesteatoma,General Physician
chondromalacia of the patella,General Physician
chorioretinitis,General Physician
chronic back pain,General Physician
chronic constipation,General Physician
chronic glaucoma,Ophthalmologist
chronic inflammatory demyelinating polyneuropathy (cidp),Neurologist
chronic kidney disease,Nephrologist
chronic knee pain,General Physician
chronic obstructive pulmonary disease (copd),General Physician
chronic otitis media,General Physician
chronic pain disorder,General Physician
chronic pancreatitis,General Physician
chronic rheumatic fever,General Physician
chronic sinusitis,General Physician
chronic ulcer,General Physician
cirrhosis,General Physician
coagulation (bleeding) disorder,General Physician
cold sore,General Physician
colonic polyp,General Physician
colorectal cancer,General Physician
common cold,General Physician
complex regional pain syndrome,General Physician
concussion,General Physician
conduct disorder,General Physician
conductive hearing loss,General Physician
congenital heart defect,Cardiologist
congenital malformation syndrome,General Physician
conjunctivitis,General Physician
conjunctivitis due to allergy,General Physician
conjunctivitis due to bacteria,Infectious Disease Specialist
conjunctivitis due to virus,Infectious Disease Specialist
connective tissue disorder,General Physician
contact dermatitis,General Physician
conversion disorder,General Physician
cornea infection,Infectious Disease Specialist
corneal abrasion,General Physician
corneal disorder,General Physician
coronary atherosclerosis,General Physician
cranial nerve palsy,General Physician
crohn disease,General Physician
croup,General Physician
crushing injury,General Physician
cryptococcosis,General Physician
cryptorchidism,General Physician
cushing syndrome,General Physician
cyst of the eyelid,Ophthalmologist
cystic fibrosis,General Physician
cysticercosis,General Physician
cystitis,General Physician
de quervain disease,General Physician
decubitus ulcer,General Physician
deep vein thrombosis (dvt),General Physician
degenerative disc disease,General Physician
delirium,General Physician
dementia,General Physician
dengue fever,General Physician
dental caries,General Physician
depression,General Physician
dermatitis due to sun exposure,General Physician
developmental disability,General Physician
deviated nasal septum,General Physician
diabetes,Endocrinologist
diabetes insipidus,Endocrinologist
diabetic ketoacidosis,General Physician
diabetic kidney disease,Nephrologist
diabetic peripheral neuropathy,Neurologist
diabetic retinopathy,General Physician
diaper rash,Dermatologist
dislocation of the ankle,General Physician
dislocation of the elbow,General Physician
dislocation of the finger,General Physician
dislocation of the foot,General Physician
dislocation of the hip,General Physician
dislocation of the knee,General Physician
dislocation of the patella,General Physician
dislocation of the shoulder,General Physician
dislocation of the vertebra,General Physician
dislocation of the wrist,General Physician
dissociative disorder,General Physician
diverticulitis,General Physician
diverticulosis,General Physician
down syndrome,General Physician
drug abuse,General Physician
drug abuse (barbiturates),General Physician
drug abuse (cocaine),General Physician
drug abuse (methamphetamine),General Physician
drug abuse (opioids),General Physician
drug poisoning due to medication,General Physician
drug reaction,General Physician
drug withdrawal,General Physician
dry eye of unknown cause,Ophthalmologist
dumping syndrome,General Physician
dyshidrosis,General Physician
dysthymic disorder,General Physician
ear drum damage,General Physician
ear wax impaction,General Physician
eating disorder,General Physician
ectopic pregnancy,Gynecologist
ectropion,General Physician
eczema,Dermatologist
edward syndrome,General Physician
emphysema,General Physician
empyema,General Physician
encephalitis,General Physician
endocarditis,General Physician
endometrial cancer,General Physician
endometrial hyperplasia,General Physician
endometriosis,General Physician
endophthalmitis,General Physician
envenomation from spider or animal bite,General Physician
ependymoma,General Physician
epididymitis,General Physician
epidural hemorrhage,General Physician
epilepsy,Neurologist
erectile dysfunction,General Physician
erythema multiforme,General Physician
esophageal cancer,General Physician
esophageal varices,General Physician
esophagitis,General Physician
essential tremor,General Physician
eustachian tube dysfunction (ear disorder),General Physician
extrapyramidal effect of drugs,General Physician
eye alignment disorder,Ophthalmologist
factitious disorder,General Physician
female genitalia infection,Infectious Disease Specialist
female infertility of unknown cause,General Physician
fetal alcohol syndrome,General Physician
fibroadenoma,General Physician
fibrocystic breast disease,General Physician
fibromyalgia,General Physician
flat feet,General Physician
floaters,General Physician
flu,General Physician
fluid overload,General Physician
folate deficiency,General Physician
food allergy,General Physician
foreign body in the ear,General Physician
foreign body in the eye,Ophthalmologist
foreign body in the gastrointestinal tract,General Physician
foreign body in the nose,General Physician
foreign body in the throat,General Physician
foreign body in the vagina,General Physician
fracture of the ankle,Orthopedic
fracture of the arm,Orthopedic
fracture of the facial bones,Orthopedic
fracture of the finger,Orthopedic
fracture of the foot,Orthopedic
fracture of the hand,Orthopedic
fracture of the jaw,Orthopedic
fracture of the leg,Orthopedic
fracture of the neck,Orthopedic
fracture of the patella,Orthopedic
fracture of the pelvis,Orthopedic
fracture of the rib,Orthopedic
fracture of the shoulder,Orthopedic
fracture of the skull,Orthopedic
fracture of the vertebra,Orthopedic
friedrich ataxia,General Physician
frostbite,General Physician
fungal infection of the hair,Infectious Disease Specialist
fungal infection of the skin,Dermatologist
g6pd enzyme deficiency,General Physician
galactorrhea of unknown cause,General Physician
gallstone,General Physician
ganglion cyst,General Physician
gas gangrene,General Physician
gastritis,General Physician
gastroduodenal ulcer,General Physician
gastroesophageal reflux disease (gerd),General Physician
gastrointestinal hemorrhage,General Physician
gastroparesis,General Physician
genital herpes,General Physician
gestational diabetes,Endocrinologist
glaucoma,Ophthalmologist
glucocorticoid deficiency,General Physician
goiter,General Physician
gonorrhea,General Physician
gout,General Physician
granuloma inguinale,General Physician
graves disease,General Physician
guillain barre syndrome,General Physician
gum disease,General Physician
gynecomastia,General Physician
hammer toe,General Physician
hashimoto thyroiditis,Endocrinologist
head and neck cancer,General Physician
head injury,General Physician
headache after lumbar puncture,General Physician
heart attack,Cardiologist
heart block,Cardiologist
heart contusion,Cardiologist
heart failure,Cardiologist
heat exhaustion,General Physician
heat stroke,Cardiologist
hemangioma,General Physician
hemarthrosis,General Physician
hematoma,General Physician
hemiplegia,General Physician
hemochromatosis,General Physician
hemolytic anemia,General Physician
hemophilia,General Physician
hemorrhoids,General Physician
hepatic encephalopathy,General Physician
hepatitis due to a toxin,Hepatologist
herniated disk,General Physician
herpangina,General Physician
hiatal hernia,General Physician
hidradenitis suppurativa,General Physician
high blood pressure,General Physician
hirschsprung disease,General Physician
hirsutism,General Physician
histoplasmosis,General Physician
hormone disorder,Endocrinologist
hpv,General Physician
human immunodeficiency virus infection (hiv),Infectious Disease Specialist
huntington disease,General Physician
hydatidiform mole,General Physician
hydrocele of the testicle,General Physician
hydrocephalus,General Physician
hydronephrosis,General Physician
hypercalcemia,General Physician
hypercholesterolemia,General Physician
hyperemesis gravidarum,General Physician
hypergammaglobulinemia,General Physician
hyperhidrosis,General Physician
hyperkalemia,General Physician
hyperlipidemia,General Physician
hypernatremia,General Physician
hyperopia,General Physician
hyperosmotic hyperketotic state,General Physician
hypertension of pregnancy,Cardiologist
hypertensive heart disease,Cardiologist
hypertrophic obstructive cardiomyopathy (hocm),Cardiologist
hypocalcemia,General Physician
hypoglycemia,General Physician
hypokalemia,General Physician
hyponatremia,General Physician
hypothermia,General Physician
hypothyroidism,Endocrinologist
hypovolemia,General Physician
idiopathic absence of menstruation,General Physician
idiopathic excessive menstruation,General Physician
idiopathic infrequent menstruation,General Physician
idiopathic irregular menstrual cycle,General Physician
idiopathic nonmenstrual bleeding,General Physician
idiopathic painful menstruation,General Physician
ileus,General Physician
impetigo,General Physician
impulse control disorder,General Physician
indigestion,General Physician
induced abortion,General Physician
infection of open wound,Infectious Disease Specialist
infectious gastroenteritis,General Physician
ingrown toe nail,General Physician
inguinal hernia,General Physician
injury of the ankle,General Physician
injury to internal organ,General Physician
injury to the abdomen,General Physician
injury to the arm,General Physician
injury to the face,General Physician
injury to the finger,General Physician
injury to the hand,General Physician
injury to the hip,General Physician
injury to the knee,General Physician
injury to the leg,General Physician
injury to the shoulder,General Physician
injury to the spinal cord,General Physician
injury to the trunk,General Physician
insect bite,General Physician
insulin overdose,General Physician
interstitial lung disease,Pulmonologist
intertrigo (skin condition),Dermatologist
intestinal cancer,General Physician
intestinal disease,General Physician
intestinal malabsorption,General Physician
intestinal obstruction,General Physician
intracerebral hemorrhage,General Physician
intracranial abscess,General Physician
intracranial hemorrhage,General Physician
intussusception,General Physician
iridocyclitis,General Physician
iron deficiency anemia,General Physician
irritable bowel syndrome,General Physician
ischemia of the bowel,General Physician
ischemic heart disease,Cardiologist
itching of unknown cause,General Physician
jaw disorder,General Physician
joint effusion,Orthopedic
juvenile rheumatoid arthritis,Orthopedic
kaposi sarcoma,General Physician
kidney cancer,Nephrologist
kidney disease due to longstanding hypertension,Cardiologist
kidney failure,Nephrologist
kidney stone,Nephrologist
knee ligament or meniscus tear,General Physician
labyrinthitis,General Physician
lactose intolerance,General Physician
laryngitis,General Physician
lateral epicondylitis (tennis elbow),General Physician
leukemia,General Physician
lewy body dementia,General Physician
lice,General Physician
lichen planus,General Physician
lichen simplex,General Physician
lipoma,General Physician
liver cancer,Hepatologist
liver disease,Hepatologist
lumbago,General Physician
lung cancer,Pulmonologist
lung contusion,Pulmonologist
lyme disease,General Physician
lymphadenitis,General Physician
lymphangitis,General Physician
lymphedema,General Physician
lymphogranuloma venereum,General Physician
lymphoma,General Physician
macular degeneration,General Physician
magnesium deficiency,General Physician
malaria,General Physician
male genitalia infection,Infectious Disease Specialist
malignant hypertension,Cardiologist
marijuana abuse,General Physician
mastectomy,General Physician
mastoiditis,General Physician
meckel diverticulum,General Physician
melanoma,General Physician
meniere disease,General Physician
meningioma,General Physician
meningitis,General Physician
menopause,General Physician
metabolic disorder,General Physician
metastatic cancer,General Physician
migraine,General Physician
missed abortion,General Physician
mitral valve disease,General Physician
mittelschmerz,General Physician
molluscum contagiosum,General Physician
mononeuritis,General Physician
mononucleosis,General Physician
moyamoya disease,General Physician
mucositis,General Physician
multiple myeloma,General Physician
multiple sclerosis,General Physician
mumps,General Physician
muscle spasm,General Physician
muscular dystrophy,General Physician
myasthenia gravis,General Physician
myelodysplastic syndrome,General Physician
myocarditis,General Physician
myoclonus,General Physician
myopia,General Physician
myositis,General Physician
narcolepsy,General Physician
nasal polyp,General Physician
necrotizing fasciitis,General Physician
neonatal jaundice,General Physician
nerve impingement near the shoulder,General Physician
neuralgia,General Physician
neurofibromatosis,Neurologist
neuropathy due to drugs,Neurologist
neurosis,Neurologist
nonalcoholic liver disease (nash),Hepatologist
noninfectious gastroenteritis,General Physician
normal pressure hydrocephalus,General Physician
